#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         582    0.955783    0.951798 6.98757e-05
         583    0.955806    0.951805 7.00932e-05
         584     0.95583    0.951812 7.03111e-05
         585    0.955854    0.951819 7.05295e-05
         586    0.955877    0.951826 7.07483e-05
         587    0.955901    0.951833 7.09676e-05
         588    0.955925     0.95184 7.11873e-05
         589    0.955949    0.951847 7.14074e-05
         590    0.955973    0.951854  7.1628e-05
         591    0.955997    0.951861  7.1849e-05
         592    0.956021    0.951868 7.20705e-05
         593    0.956045    0.951875 7.22924e-05
         594    0.956069    0.951882 7.25147e-05
         595    0.956094    0.951889 7.27375e-05
         596    0.956118    0.951896 7.29607e-05
         597    0.956143    0.951903 7.31844e-05
         598    0.956167     0.95191 7.34085e-05
         599    0.956192    0.951918 7.36331e-05
         600    0.956216    0.951925 7.38581e-05
         601    0.956241    0.951932 7.40836e-05
         602    0.956266    0.951939 7.43095e-05
         603    0.956291    0.951946 7.45359e-05
         604    0.956316    0.951954 7.47627e-05
         605    0.956341    0.951961   7.499e-05
         606    0.956366    0.951968 7.52178e-05
         607    0.956391    0.951975  7.5446e-05
         608    0.956416    0.951983 7.56746e-05
         609    0.956442     0.95199 7.59037e-05
         610    0.956467    0.951997 7.61333e-05
         611    0.956492    0.952005 7.63634e-05
         612    0.956518    0.952012 7.65939e-05
         613    0.956544    0.952019 7.68248e-05
         614    0.956569    0.952027 7.70563e-05
         615    0.956595    0.952034 7.72881e-05
         616    0.956621    0.952042 7.75205e-05
         617    0.956647    0.952049 7.77533e-05
         618    0.956673    0.952057 7.79866e-05
         619    0.956699    0.952064 7.82204e-05
         620    0.956725    0.952072 7.84546e-05
         621    0.956751    0.952079 7.86893e-05
         622    0.956777    0.952087 7.89245e-05
         623    0.956804    0.952094 7.91602e-05
         624     0.95683    0.952102 7.93963e-05
         625    0.956857     0.95211 7.96329e-05
         626    0.956883    0.952117   7.987e-05
         627     0.95691    0.952125 8.01075e-05
         628    0.956937    0.952132 8.03456e-05
         629    0.956963     0.95214 8.05841e-05
         630     0.95699    0.952148 8.08231e-05
         631    0.957017    0.952156 8.10626e-05
         632    0.957044    0.952163 8.13025e-05
         633    0.957071    0.952171  8.1543e-05
         634    0.957099    0.952179 8.17839e-05
         635    0.957126    0.952187 8.20253e-05
         636    0.957153    0.952194 8.22672e-05
         637    0.957181    0.952202 8.25096e-05
         638    0.957208     0.95221 8.27525e-05
         639    0.957236    0.952218 8.29959e-05
         640    0.957263    0.952226 8.32398e-05
         641    0.957291    0.952234 8.34842e-05
         642    0.957319    0.952242  8.3729e-05
         643    0.957347     0.95225 8.39744e-05
         644    0.957375    0.952258 8.42203e-05
         645    0.957403    0.952266 8.44666e-05
         646    0.957431    0.952274 8.47135e-05
         647    0.957459    0.952282 8.49608e-05
         648    0.957487     0.95229 8.52087e-05
         649    0.957516    0.952298 8.54571e-05
         650    0.957544    0.952306  8.5706e-05
         651    0.957573    0.952314 8.59553e-05
         652    0.957601    0.952322 8.62052e-05
         653     0.95763     0.95233 8.64556e-05
         654    0.957659    0.952338 8.67065e-05
         655    0.957688    0.952346 8.69579e-05
         656    0.957717    0.952355 8.72099e-05
         657    0.957746    0.952363 8.74623e-05
